Desc	Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
n/a	OG0000120	0	10	12	13	11	12	20	23	3
n/a	OG0000121	16	23	6	0	10	13	12	10	17
n/a	OG0000123	0	19	13	14	2	2	21	17	1
n/a	OG0000124	0	13	6	12	0	3	21	28	4
n/a	OG0000125	0	12	10	22	12	5	21	18	1
n/a	OG0000127	0	20	14	12	1	6	16	10	21
n/a	OG0000128	8	13	10	17	9	14	13	12	19
n/a	OG0000129	3	16	8	0	9	15	17	16	15
n/a	OG0000130	4	14	7	20	8	7	19	16	4
n/a	OG0000131	0	15	4	6	7	6	20	26	1
n/a	OG0000132	0	13	15	6	18	14	19	16	1
n/a	OG0000133	0	9	9	8	16	9	20	22	6
n/a	OG0000134	0	13	10	0	11	14	18	20	8
n/a	OG0000135	0	13	10	22	18	11	15	14	8
n/a	OG0000136	8	16	7	25	10	9	10	14	11
n/a	OG0000137	3	1	12	19	11	13	21	20	13
n/a	OG0000138	5	7	59	30	6	7	5	6	20
n/a	OG0000141	0	8	10	17	10	7	22	20	0
n/a	OG0000142	6	13	11	15	4	9	17	14	11
n/a	OG0000144	5	12	7	10	12	18	14	14	13
n/a	OG0000145	11	13	15	10	7	16	15	15	0
n/a	OG0000146	1	10	10	9	10	4	21	22	1
n/a	OG0000147	1	15	7	40	30	3	1	20	2
n/a	OG0000148	11	14	8	9	10	9	17	12	9
n/a	OG0000149	1	19	15	10	1	1	18	14	4
n/a	OG0000150	1	11	9	14	9	4	20	20	3
n/a	OG0000151	0	17	11	9	2	2	20	18	1
n/a	OG0000152	8	12	14	0	10	15	16	14	13
n/a	OG0000153	1	15	5	30	0	0	12	25	2
n/a	OG0000154	8	17	4	19	10	5	13	14	6
n/a	OG0000155	0	15	2	11	7	2	18	18	11
n/a	OG0000156	1	8	14	19	7	14	17	13	9
n/a	OG0000157	0	15	13	9	3	9	18	16	4
n/a	OG0000158	0	11	17	9	14	15	12	13	17
n/a	OG0000159	16	7	5	15	4	9	20	15	5
n/a	OG0000160	0	16	11	10	9	1	17	13	10
n/a	OG0000162	0	15	6	14	3	8	16	18	3
n/a	OG0000163	0	12	10	17	9	2	19	16	0
n/a	OG0000164	0	13	10	14	6	17	16	12	3
n/a	OG0000165	1	26	14	8	17	2	9	6	2
n/a	OG0000166	5	12	10	13	8	12	14	13	10
n/a	OG0000167	0	17	13	10	5	7	16	12	2
n/a	OG0000168	2	18	7	19	4	3	13	14	5
n/a	OG0000169	9	13	4	13	13	5	16	12	5
n/a	OG0000170	1	5	42	88	1	4	0	4	0
n/a	OG0000171	0	12	6	9	3	11	17	20	5
n/a	OG0000172	0	0	45	87	2	3	3	6	2
n/a	OG0000173	0	9	4	24	19	4	14	14	8
n/a	OG0000174	1	17	16	6	11	14	11	12	1
n/a	OG0000176	0	24	11	12	6	2	12	9	0
n/a	OG0000177	1	18	6	4	6	5	17	14	1
n/a	OG0000178	9	12	14	61	2	6	3	6	4
n/a	OG0000179	0	28	1	30	1	5	5	2	14
n/a	OG0000180	0	7	16	16	2	6	12	20	16
n/a	OG0000182	1	13	21	13	1	6	11	12	15
n/a	OG0000183	1	17	12	10	11	11	12	10	1
n/a	OG0000184	0	16	11	8	25	9	11	7	5
n/a	OG0000185	8	14	7	10	14	9	11	9	11
n/a	OG0000187	0	9	7	12	7	5	18	20	1
n/a	OG0000189	0	13	13	18	4	1	14	18	0
n/a	OG0000190	0	12	8	0	1	1	20	21	2
n/a	OG0000191	0	6	2	7	14	2	19	24	4
n/a	OG0000192	1	19	6	6	8	8	11	11	7
n/a	OG0000195	0	9	9	16	5	12	13	14	12
n/a	OG0000196	28	11	9	7	0	8	12	12	3
n/a	OG0000198	3	0	7	12	6	11	20	21	9
n/a	OG0000199	13	13	4	7	10	6	15	12	3
n/a	OG0000200	0	22	1	10	9	0	15	8	0
n/a	OG0000201	0	9	10	12	7	18	15	13	5
n/a	OG0000202	3	9	14	41	13	18	8	4	1
n/a	OG0000203	0	9	10	10	14	6	13	14	13
n/a	OG0000204	0	11	15	13	9	22	11	10	0
n/a	OG0000205	0	12	5	11	5	5	18	14	2
n/a	OG0000206	3	6	6	16	7	6	4	12	52
n/a	OG0000207	4	12	8	14	8	8	12	12	8
n/a	OG0000209	0	6	1	12	7	8	19	14	12
n/a	OG0000210	2	9	8	13	4	6	16	14	6
n/a	OG0000211	8	12	12	8	6	6	13	14	3
n/a	OG0000212	1	7	17	21	1	0	13	22	0
n/a	OG0000213	0	4	19	0	16	32	10	14	7
n/a	OG0000214	6	13	10	10	10	10	11	7	12
n/a	OG0000215	16	13	8	0	6	10	12	12	6
n/a	OG0000216	1	10	14	15	5	12	12	10	8
n/a	OG0000217	0	20	11	11	10	5	11	6	0
n/a	OG0000218	0	9	25	10	4	23	10	8	9
n/a	OG0000219	31	0	22	9	19	13	9	4	14
n/a	OG0000220	0	6	16	71	4	11	6	2	0
n/a	OG0000221	0	9	18	33	8	23	3	13	0
n/a	OG0000222	1	2	5	9	12	22	14	16	9
n/a	OG0000223	3	12	7	12	7	19	10	8	11
n/a	OG0000224	4	16	12	53	1	1	5	2	0
n/a	OG0000225	0	11	22	3	20	8	1	0	50
n/a	OG0000228	17	7	11	11	5	12	14	8	3
n/a	OG0000229	34	6	3	0	2	7	14	14	2
n/a	OG0000230	0	14	4	10	3	10	11	13	8
n/a	OG0000231	2	10	9	19	2	8	14	11	3
n/a	OG0000232	0	14	0	30	0	0	12	14	1
n/a	OG0000234	6	8	9	10	6	3	15	15	4
n/a	OG0000235	1	13	7	11	7	7	12	10	8
n/a	OG0000236	0	8	21	10	12	3	12	15	0
n/a	OG0000237	1	12	9	0	0	2	16	19	0
n/a	OG0000238	2	4	9	14	13	6	16	14	5
n/a	OG0000239	0	22	6	5	17	1	7	8	0
n/a	OG0000240	0	12	11	8	6	12	12	12	0
n/a	OG0000241	0	6	8	5	15	17	14	14	0
n/a	OG0000242	0	9	12	12	1	5	14	16	0
n/a	OG0000243	1	4	25	37	22	11	0	11	3
n/a	OG0000244	0	10	14	10	1	6	14	14	2
n/a	OG0000245	12	12	9	8	6	11	9	7	6
n/a	OG0000246	0	11	10	4	1	1	16	17	0
n/a	OG0000247	20	8	6	5	3	1	14	14	1
n/a	OG0000248	8	8	6	10	5	6	13	12	8
n/a	OG0000249	0	13	6	6	8	7	12	13	2
n/a	OG0000250	0	6	16	4	17	6	13	12	5
n/a	OG0000251	0	7	1	10	0	26	16	10	4
n/a	OG0000252	0	19	9	2	4	2	12	10	1
n/a	OG0000253	7	9	5	9	4	3	16	12	3
n/a	OG0000254	7	8	9	6	13	8	10	14	3
n/a	OG0000255	1	0	14	10	13	16	14	9	15
n/a	OG0000256	0	8	10	6	25	3	9	14	3
n/a	OG0000257	5	7	7	11	7	13	12	11	5
n/a	OG0000258	1	14	8	10	3	9	10	8	6
n/a	OG0000259	1	14	7	8	1	6	12	10	6
n/a	OG0000260	1	8	0	82	0	0	6	1	0
n/a	OG0000261	0	2	10	9	0	7	24	12	0
n/a	OG0000262	0	14	7	11	6	9	10	9	3
n/a	OG0000263	4	14	8	12	2	6	11	6	8
n/a	OG0000264	0	0	3	3	0	0	32	12	0
n/a	OG0000265	1	7	4	8	5	6	16	14	4
n/a	OG0000266	0	14	11	7	3	5	10	12	3
n/a	OG0000267	0	11	3	10	5	4	16	8	5
n/a	OG0000268	0	6	10	17	23	2	10	12	2
n/a	OG0000269	1	16	7	1	4	4	12	9	5
n/a	OG0000270	4	8	8	10	12	13	10	7	9
n/a	OG0000272	2	5	7	14	6	8	13	12	7
n/a	OG0000273	15	10	7	6	7	13	7	6	9
n/a	OG0000274	5	6	9	12	6	12	11	10	6
n/a	OG0000275	2	10	7	9	5	18	8	10	10
n/a	OG0000277	0	9	5	10	13	3	12	12	3
n/a	OG0000278	11	12	11	8	6	3	9	8	2
n/a	OG0000280	0	22	6	5	7	2	7	7	0
n/a	OG0000281	0	7	21	4	10	20	7	8	8
n/a	OG0000282	0	8	4	16	11	4	10	12	6
n/a	OG0000283	0	10	5	13	6	6	11	12	6
n/a	OG0000284	1	14	4	9	1	3	13	10	1
n/a	OG0000285	0	11	13	6	9	4	11	10	0
n/a	OG0000286	1	7	7	10	4	2	14	16	0
n/a	OG0000287	5	6	2	6	12	14	13	10	6
n/a	OG0000288	12	7	8	6	5	8	12	10	2
n/a	OG0000289	2	11	6	9	4	7	14	8	3
n/a	OG0000290	0	15	5	8	10	4	10	7	4
n/a	OG0000291	14	10	6	3	7	19	7	4	9
n/a	OG0000292	1	7	8	0	9	14	12	12	6
n/a	OG0000293	1	7	9	10	7	11	9	10	11
n/a	OG0000295	2	8	9	11	1	7	12	11	4
n/a	OG0000296	0	7	11	9	23	6	10	8	0
n/a	OG0000297	0	11	12	10	9	5	9	6	10
n/a	OG0000298	5	8	6	14	3	2	11	10	9
n/a	OG0000299	12	9	6	13	4	4	8	11	2
n/a	OG0000300	14	7	6	0	3	6	13	11	5
n/a	OG0000301	4	12	8	4	2	5	11	10	2
n/a	OG0000302	2	8	6	20	3	2	12	10	2
n/a	OG0000303	2	4	4	8	3	6	15	14	10
n/a	OG0000304	0	8	4	11	5	0	15	12	0
n/a	OG0000305	0	13	9	38	26	0	0	0	1
n/a	OG0000307	1	0	8	15	11	8	15	11	3
n/a	OG0000308	3	7	4	10	4	2	15	10	3
n/a	OG0000309	0	9	5	12	7	5	12	11	1
n/a	OG0000310	0	11	0	14	0	5	15	9	0
n/a	OG0000312	0	14	19	5	2	4	9	6	1
n/a	OG0000313	4	9	8	11	5	6	9	8	8
n/a	OG0000314	5	10	7	8	6	6	8	10	3
n/a	OG0000315	0	6	3	3	3	7	15	15	4
n/a	OG0000316	1	10	10	10	2	9	8	10	3
n/a	OG0000317	6	4	5	17	4	1	6	7	36
n/a	OG0000318	0	22	0	25	0	0	1	8	0
n/a	OG0000319	0	7	3	9	3	4	15	13	0
n/a	OG0000320	0	5	4	7	5	4	15	14	3
n/a	OG0000321	2	7	7	9	3	15	8	10	7
n/a	OG0000322	2	10	3	9	2	2	13	10	3
n/a	OG0000323	7	9	9	4	7	11	8	8	6
n/a	OG0000324	6	6	4	16	5	8	9	12	4
n/a	OG0000325	0	7	5	5	12	8	14	7	1
n/a	OG0000326	0	6	3	12	5	3	12	16	1
n/a	OG0000327	0	10	17	7	2	6	8	12	0
n/a	OG0000328	2	7	12	9	3	6	10	10	6
n/a	OG0000329	2	8	5	9	4	1	14	12	1
n/a	OG0000330	7	8	7	11	7	5	10	7	5
n/a	OG0000331	3	6	7	10	9	12	8	8	11
n/a	OG0000332	3	10	6	9	7	7	11	4	7
n/a	OG0000333	7	6	9	8	9	15	7	10	3
n/a	OG0000334	0	1	68	18	2	13	0	2	2
n/a	OG0000335	0	3	5	5	0	0	17	20	0
n/a	OG0000336	4	8	7	11	6	7	9	8	5
n/a	OG0000337	5	9	3	11	5	6	10	7	6
n/a	OG0000338	8	5	6	9	4	10	10	9	8
n/a	OG0000339	1	6	7	9	7	6	13	8	4
n/a	OG0000340	0	20	2	7	14	6	3	0	7
n/a	OG0000341	0	10	6	6	1	7	8	8	18
n/a	OG0000343	0	9	8	0	10	3	11	12	2
n/a	OG0000344	1	2	20	0	59	2	0	2	14
n/a	OG0000345	1	6	3	7	6	11	12	10	4
n/a	OG0000346	0	6	4	17	5	6	11	12	1
n/a	OG0000348	0	10	8	7	5	2	12	8	0
n/a	OG0000349	0	9	10	6	20	3	9	6	0
n/a	OG0000350	0	9	5	10	4	8	10	10	3
n/a	OG0000351	1	16	9	39	7	1	0	0	0
n/a	OG0000352	1	9	7	7	1	4	11	11	2
n/a	OG0000353	0	14	11	21	0	5	5	5	0
n/a	OG0000354	0	10	8	6	4	2	11	10	1
n/a	OG0000355	0	11	9	9	1	10	7	6	8
n/a	OG0000356	0	13	9	2	3	5	10	8	0
n/a	OG0000357	0	16	12	6	1	1	9	4	2
n/a	OG0000359	1	8	7	10	7	7	8	8	7
n/a	OG0000360	3	14	3	6	1	3	10	8	2
n/a	OG0000361	3	6	10	10	7	9	8	8	7
n/a	OG0000362	2	12	15	6	3	6	8	5	2
n/a	OG0000363	1	9	3	12	7	8	9	7	5
n/a	OG0000364	2	5	4	8	9	9	10	10	8
n/a	OG0000365	3	13	4	6	3	3	8	8	4
n/a	OG0000366	5	8	7	6	5	6	10	8	4
n/a	OG0000367	0	18	12	4	4	5	5	4	0
n/a	OG0000368	0	6	6	8	2	5	12	10	7
n/a	OG0000369	0	6	3	14	7	7	9	9	7
n/a	OG0000370	1	3	1	7	0	1	15	14	11
n/a	OG0000371	4	7	3	11	2	5	12	9	2
n/a	OG0000372	1	8	4	7	9	6	10	8	4
n/a	OG0000373	0	9	2	0	6	1	11	16	2
n/a	OG0000374	0	7	4	5	7	13	8	14	1
n/a	OG0000375	1	1	27	20	2	1	15	0	0
n/a	OG0000376	9	7	3	11	2	1	12	9	0
n/a	OG0000377	4	7	7	9	4	8	10	6	8
n/a	OG0000378	3	9	2	8	3	2	12	9	2
n/a	OG0000379	1	4	4	18	6	8	10	10	2
n/a	OG0000380	0	29	0	4	0	0	3	0	0
n/a	OG0000381	0	9	4	8	5	7	9	5	14
n/a	OG0000382	0	10	4	8	2	4	10	9	4
n/a	OG0000383	3	6	7	10	5	4	11	8	3
n/a	OG0000384	2	6	2	7	7	2	12	12	2
n/a	OG0000385	1	10	3	12	3	3	10	8	3
n/a	OG0000386	1	9	6	10	6	2	11	6	3
n/a	OG0000387	5	4	3	4	3	4	12	15	1
n/a	OG0000388	3	8	5	7	4	12	9	6	6
n/a	OG0000390	0	13	4	8	2	8	8	6	5
n/a	OG0000391	0	11	9	5	1	1	11	6	7
n/a	OG0000392	0	14	3	12	2	6	8	6	1
n/a	OG0000393	0	10	11	8	8	2	9	5	1
n/a	OG0000394	0	8	4	6	0	16	10	7	6
n/a	OG0000395	0	7	17	5	2	10	9	8	0
n/a	OG0000396	0	8	5	8	8	5	9	10	2
n/a	OG0000397	2	7	9	1	0	2	12	12	0
n/a	OG0000398	0	32	2	0	0	0	0	0	0
n/a	OG0000399	0	7	5	7	18	3	8	8	4
n/a	OG0000400	0	10	7	0	17	13	5	4	9
n/a	OG0000401	0	7	11	9	0	2	12	9	0
n/a	OG0000402	0	13	2	3	3	1	13	6	1
n/a	OG0000403	0	5	1	4	1	0	15	16	0
n/a	OG0000404	0	0	0	51	0	0	10	9	0
n/a	OG0000405	2	7	7	10	4	6	8	8	6
n/a	OG0000406	3	10	5	8	5	5	7	6	8
n/a	OG0000407	3	5	4	14	2	5	10	9	5
n/a	OG0000408	4	8	5	7	2	6	10	8	5
n/a	OG0000409	0	5	8	5	10	14	7	7	10
n/a	OG0000410	0	4	13	10	0	0	11	14	0
n/a	OG0000411	0	4	5	6	6	10	10	8	10
n/a	OG0000412	0	11	8	8	6	0	9	8	0
n/a	OG0000413	0	0	0	78	0	0	5	2	0
n/a	OG0000414	0	0	0	21	0	2	16	12	0
n/a	OG0000415	1	3	71	3	8	2	0	1	0
n/a	OG0000416	2	6	7	5	4	11	9	6	10
n/a	OG0000417	1	1	70	12	3	0	2	1	0
n/a	OG0000418	2	6	8	12	6	6	8	7	6
n/a	OG0000419	3	5	4	16	3	4	11	8	4
n/a	OG0000420	0	7	5	12	1	6	9	10	4
n/a	OG0000422	6	6	5	10	2	2	12	8	3
n/a	OG0000423	2	7	5	9	4	2	10	10	3
n/a	OG0000424	1	9	6	6	9	5	7	7	7
n/a	OG0000425	1	8	3	7	5	8	10	7	5
n/a	OG0000426	0	11	2	0	3	4	11	10	0
n/a	OG0000427	0	8	4	7	14	10	5	4	14
n/a	OG0000428	22	1	1	37	0	0	9	0	1
n/a	OG0000429	5	7	6	7	4	7	7	4	13
n/a	OG0000430	82	1	1	1	1	1	1	0	1
n/a	OG0000431	2	8	5	7	3	7	9	7	4
n/a	OG0000432	0	12	4	9	4	6	7	5	6
n/a	OG0000433	1	10	3	4	3	8	8	10	3
n/a	OG0000434	8	5	7	5	7	6	8	8	6
n/a	OG0000435	1	8	4	4	4	5	9	10	2
n/a	OG0000436	1	6	5	6	5	10	9	8	7
n/a	OG0000437	0	6	3	8	4	8	10	8	7
n/a	OG0000438	0	7	4	12	11	8	8	5	1
n/a	OG0000439	0	3	5	6	2	12	10	12	6
n/a	OG0000440	3	6	10	8	7	2	10	6	1
n/a	OG0000441	3	5	3	6	5	2	12	9	3
n/a	OG0000442	5	6	5	9	2	3	11	7	3
n/a	OG0000443	1	5	4	8	2	2	11	12	2
n/a	OG0000444	5	4	6	7	9	12	7	7	5
n/a	OG0000445	3	6	5	8	5	7	8	8	6
n/a	OG0000446	0	7	5	4	16	9	6	6	5
n/a	OG0000447	4	19	7	1	14	1	1	1	1
n/a	OG0000448	7	7	5	0	14	8	6	6	6
n/a	OG0000449	5	7	2	0	1	2	12	11	1
n/a	OG0000450	0	11	6	4	1	8	10	5	1
n/a	OG0000451	0	7	3	9	0	0	12	10	0
n/a	OG0000453	1	0	24	1	15	21	0	0	26
n/a	OG0000454	14	9	5	9	1	7	5	5	3
n/a	OG0000455	4	5	4	7	4	6	9	9	5
n/a	OG0000456	0	10	4	7	3	7	7	6	7
n/a	OG0000457	0	12	2	4	3	1	8	10	0
n/a	OG0000458	0	3	7	8	1	2	12	12	1
n/a	OG0000459	0	3	4	9	15	4	12	6	2
n/a	OG0000460	1	6	6	7	2	6	10	8	3
n/a	OG0000461	5	6	4	8	6	6	8	6	6
n/a	OG0000462	1	5	4	4	11	4	11	8	1
n/a	OG0000463	0	9	5	7	4	7	8	5	4
n/a	OG0000464	0	3	3	11	3	2	13	10	3
n/a	OG0000465	0	10	7	10	1	6	1	0	32
n/a	OG0000466	2	7	6	7	7	6	8	5	7
n/a	OG0000467	4	6	5	8	3	8	8	4	9
n/a	OG0000468	3	9	5	4	1	6	6	6	13
n/a	OG0000469	3	8	6	7	3	6	7	6	6
n/a	OG0000470	2	7	8	5	10	7	5	8	6
n/a	OG0000471	0	5	5	7	5	10	6	6	13
n/a	OG0000472	0	7	2	16	1	8	8	8	1
n/a	OG0000473	0	15	4	6	0	0	7	6	0
n/a	OG0000474	4	5	5	29	0	2	1	12	4
n/a	OG0000475	1	2	9	4	5	2	10	15	0
n/a	OG0000476	1	7	5	9	2	4	8	6	9
n/a	OG0000477	0	4	11	8	12	1	8	10	1
n/a	OG0000478	0	2	8	12	2	3	14	5	4
n/a	OG0000479	3	6	9	5	1	4	8	9	2
n/a	OG0000480	3	6	7	8	4	5	7	8	4
n/a	OG0000481	1	6	4	7	4	2	10	8	2
n/a	OG0000482	2	5	3	8	1	4	9	12	2
n/a	OG0000483	0	7	4	5	12	4	8	8	1
n/a	OG0000484	0	8	1	3	4	3	10	10	0
n/a	OG0000485	0	7	3	5	1	4	9	8	8
n/a	OG0000486	0	11	4	5	5	4	5	8	4
n/a	OG0000487	0	2	2	11	6	4	11	10	4
n/a	OG0000488	7	2	7	2	9	14	12	1	2
n/a	OG0000489	1	5	1	2	0	0	8	16	8
n/a	OG0000490	7	6	6	4	5	10	6	5	8
n/a	OG0000491	12	9	4	4	6	4	6	4	3
n/a	OG0000492	7	3	9	7	2	5	11	6	2
n/a	OG0000495	0	6	5	13	2	3	8	10	1
n/a	OG0000496	1	4	3	11	1	2	12	8	2
n/a	OG0000497	2	5	6	8	3	6	7	8	6
n/a	OG0000498	2	6	6	6	6	6	6	6	10
n/a	OG0000499	2	9	4	5	2	9	7	5	4
n/a	OG0000500	1	5	8	13	2	4	9	6	3
n/a	OG0000501	0	12	14	7	3	7	1	0	12
n/a	OG0000502	6	5	8	12	7	6	5	5	6
n/a	OG0000503	4	8	5	10	5	1	8	3	2
n/a	OG0000504	1	9	9	4	3	7	5	4	6
n/a	OG0000505	0	7	3	7	5	3	8	8	4
n/a	OG0000506	0	6	5	7	2	2	9	9	3
n/a	OG0000507	0	12	5	4	8	4	5	6	0
n/a	OG0000508	0	3	4	9	2	1	11	13	0
n/a	OG0000510	0	4	5	4	5	5	4	4	32
n/a	OG0000511	3	5	3	6	2	3	10	10	1
n/a	OG0000512	5	4	3	4	4	6	7	8	9
n/a	OG0000513	5	6	6	4	4	10	6	5	7
n/a	OG0000514	4	6	6	5	6	7	6	5	8
n/a	OG0000515	3	5	5	5	3	8	8	6	8
n/a	OG0000517	14	0	48	5	4	9	0	0	0
n/a	OG0000518	0	4	3	11	2	5	9	9	4
n/a	OG0000519	4	5	6	6	6	7	6	6	9
n/a	OG0000520	1	6	1	2	2	6	8	11	4
n/a	OG0000521	6	3	5	8	6	5	8	7	5
n/a	OG0000522	0	24	8	1	0	0	0	0	0
n/a	OG0000523	0	7	4	12	2	1	7	9	0
n/a	OG0000524	0	5	6	5	1	1	10	11	0
n/a	OG0000525	0	5	1	0	16	5	9	8	2
n/a	OG0000527	14	8	1	3	8	1	6	4	1
n/a	OG0000528	1	4	4	5	4	9	7	8	9
n/a	OG0000529	2	7	6	5	6	6	6	5	4
n/a	OG0000530	25	10	1	6	10	0	0	4	0
n/a	OG0000531	1	6	4	7	4	6	7	8	4
n/a	OG0000532	4	5	5	6	5	6	6	5	11
n/a	OG0000533	0	7	5	6	2	3	10	6	2
n/a	OG0000534	0	8	4	13	4	2	7	4	4
n/a	OG0000535	0	7	9	2	11	5	7	3	3
n/a	OG0000536	0	3	4	8	8	0	10	10	3
n/a	OG0000537	0	2	6	0	4	3	12	12	3
n/a	OG0000538	0	12	0	7	4	6	5	6	1
n/a	OG0000539	8	5	6	5	1	4	7	8	3
n/a	OG0000540	3	5	6	6	3	8	6	6	10
n/a	OG0000541	11	3	6	7	7	5	6	6	5
n/a	OG0000542	3	7	4	6	5	3	7	6	5
n/a	OG0000543	4	4	4	8	3	3	9	6	5
n/a	OG0000544	8	4	2	0	5	5	8	10	4
n/a	OG0000545	14	7	2	6	2	3	6	6	1
n/a	OG0000546	5	5	4	6	5	9	6	6	4
n/a	OG0000547	2	5	3	6	6	9	7	6	6
n/a	OG0000548	6	4	3	7	4	5	8	4	7
n/a	OG0000549	2	4	4	6	5	7	8	6	7
n/a	OG0000550	1	4	3	6	7	7	8	10	2
n/a	OG0000551	3	6	5	0	7	5	7	8	4
n/a	OG0000552	1	5	5	6	4	11	6	6	8
n/a	OG0000553	0	6	8	14	5	1	8	6	0
n/a	OG0000554	0	2	3	8	2	2	1	0	55
n/a	OG0000555	0	11	3	4	8	4	5	5	3
n/a	OG0000556	0	7	5	7	5	3	9	5	3
n/a	OG0000557	0	5	2	8	5	5	8	8	4
n/a	OG0000558	0	0	0	0	0	0	10	24	0
n/a	OG0000559	1	4	5	8	1	5	8	9	4
n/a	OG0000560	4	5	4	5	5	5	7	6	9
n/a	OG0000561	2	5	5	5	7	7	7	4	8
n/a	OG0000562	2	4	1	8	1	6	9	10	2
n/a	OG0000563	1	4	5	5	0	1	10	10	5
n/a	OG0000565	0	13	4	9	4	4	2	1	8
n/a	OG0000566	0	8	3	0	3	6	8	8	3
n/a	OG0000567	0	6	4	6	3	3	10	6	0
n/a	OG0000568	0	4	0	8	1	0	11	12	0
n/a	OG0000569	0	5	6	6	5	5	8	7	1
n/a	OG0000570	0	0	0	0	0	0	2	36	0
n/a	OG0000571	1	6	3	9	6	3	6	7	3
n/a	OG0000572	6	6	2	13	2	2	4	4	11
n/a	OG0000573	4	5	5	6	6	7	6	6	6
n/a	OG0000574	0	7	4	6	2	3	7	8	2
n/a	OG0000575	0	3	14	5	4	3	8	6	6
n/a	OG0000576	0	9	8	4	6	2	6	6	0
n/a	OG0000577	0	5	6	7	1	7	11	4	0
n/a	OG0000578	0	9	2	1	6	1	9	8	0
n/a	OG0000579	0	8	9	4	5	4	6	4	5
n/a	OG0000580	0	2	13	7	6	12	6	6	5
n/a	OG0000581	0	5	5	4	5	6	8	8	3
