FamilyID	Arabidopsis_thaliana<1>	Zea_mays<2>	Sorghum_bicolor<3>	Oryza_sativa<4>	Brachypodium_distachyon<5>	Avena_sativa<6>	Hordeum_vulgare<7>	Triticum_aestivum<8>	Triticum_turgidum<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000365	0	0	-1	-1	-1	6	-1	0	0	0	1	0	0	1	2	0	1
OG0000366	1	-1	1	0	0	1	-1	2	0	0	1	0	0	2	0	0	1
OG0000370	0	9	-1	-2	-1	0	0	1	0	0	1	0	0	0	1	4	7
OG0000371	1	-2	1	-2	-1	0	1	2	-1	0	1	0	0	0	3	3	0
OG0000372	-1	-2	0	3	-2	1	0	2	0	0	4	0	0	0	1	0	1
OG0000375	0	-1	0	0	18	-8	8	3	-12	0	1	-1	0	7	0	3	0
OG0000376	6	-1	0	0	-1	0	1	2	-1	0	-1	-1	0	2	3	3	0
OG0000377	0	0	0	-3	0	0	1	2	-2	0	3	1	0	0	0	1	0
OG0000378	0	0	0	0	-1	2	0	3	0	0	0	-1	0	0	4	1	1
OG0000379	-1	-3	3	1	-1	-1	8	0	0	0	3	0	0	0	0	5	0
OG0000383	0	-1	0	0	0	-1	1	2	-1	0	2	-1	0	2	0	2	0
OG0000384	0	0	0	2	-3	0	0	0	0	0	1	-1	2	0	1	1	5
OG0000385	-1	0	0	0	-1	1	2	0	-2	0	1	0	0	1	5	1	0
OG0000386	-1	0	-1	0	0	1	1	2	-3	0	2	-1	2	0	2	1	0
OG0000387	2	-2	1	0	0	0	-1	0	3	0	0	0	0	0	1	1	7
OG0000388	0	-1	5	-2	-1	1	0	2	-1	0	3	1	0	0	1	0	0
OG0000397	0	-2	0	-2	2	0	-6	0	0	0	0	0	0	5	0	0	5
OG0000405	-1	0	0	-2	0	0	2	0	0	0	3	0	0	1	0	1	0
OG0000406	0	2	-1	-1	-1	3	1	0	-1	0	3	0	0	0	1	0	0
OG0000407	0	0	0	-2	0	0	4	0	-1	0	1	1	0	0	1	5	0
OG0000408	1	0	1	-3	-1	1	0	2	0	0	2	0	0	1	1	0	1
OG0000415	-1	-2	0	2	65	-1	0	-1	0	0	2	-2	2	0	-2	-1	-2
OG0000416	-1	0	1	-2	1	0	-1	3	0	0	3	4	0	0	0	0	0
OG0000417	0	0	0	0	65	-4	7	0	-1	0	1	-2	1	2	0	0	-3
OG0000418	-1	0	0	0	1	-1	4	0	-1	0	3	0	0	1	0	1	0
OG0000419	0	0	0	-1	0	0	6	1	-2	0	1	0	0	0	1	5	0
OG0000422	3	0	-1	-1	0	0	1	3	-1	0	0	0	0	2	1	3	0
OG0000423	0	0	-1	0	0	0	0	0	0	0	2	-1	0	1	2	2	1
OG0000424	-1	0	-2	2	-1	2	-1	0	0	0	5	0	0	0	0	0	0
OG0000425	-1	0	3	0	-2	1	0	3	0	0	3	0	0	0	2	0	0
OG0000428	19	0	-1	-1	0	0	29	1	-8	0	-2	0	0	0	0	7	0
OG0000429	1	5	-1	-2	0	0	0	0	-3	0	2	2	0	0	1	0	0
OG0000430	77	0	0	0	0	0	0	0	-1	0	-4	0	0	0	0	0	0
OG0000431	-1	-1	2	-2	-1	1	0	2	0	0	2	0	0	1	1	0	0
OG0000433	-1	-1	4	-1	-1	4	-2	0	2	0	2	0	0	0	2	0	2
OG0000434	3	0	0	1	1	-1	-1	0	0	0	1	0	0	0	0	0	2
OG0000435	-1	-2	1	0	-1	2	-2	0	1	0	2	0	0	1	1	0	3
OG0000436	-1	0	3	-1	-1	0	0	1	0	0	4	1	0	0	0	0	2
OG0000440	0	-1	0	1	3	-1	0	2	-2	0	1	-2	2	1	0	1	0
OG0000441	0	0	-1	1	-1	0	0	3	0	0	1	-1	0	0	1	1	3
OG0000442	2	0	0	-1	0	0	1	3	-1	0	0	0	0	2	1	2	0
OG0000443	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	3	3
OG0000444	1	-2	5	3	0	-2	0	0	0	0	2	1	0	0	0	1	0
OG0000445	0	0	1	-1	-1	0	0	0	0	0	3	0	0	0	0	2	0
OG0000447	1	0	0	7	0	12	0	0	0	0	2	-4	2	0	0	-6	0
OG0000448	2	-1	1	7	-1	1	-6	0	0	0	2	0	0	-1	0	0	0
OG0000449	3	-1	0	-1	0	3	-4	1	0	0	0	0	0	0	2	0	7
OG0000453	-2	5	0	2	12	-1	0	0	0	0	10	8	0	-1	-11	0	-1
OG0000454	10	-2	2	-4	0	3	3	0	0	0	1	0	0	0	1	0	-1
OG0000455	1	0	1	-1	-1	0	0	0	0	0	2	0	0	0	0	2	2
OG0000460	-1	-1	2	-2	0	0	0	2	0	0	2	0	0	2	0	1	1
OG0000461	1	0	0	0	-2	0	1	1	-1	0	2	0	0	0	0	1	0
OG0000462	-1	-3	0	6	-1	0	-1	3	0	0	3	-1	0	0	0	0	3
OG0000466	-1	0	-1	0	-1	0	0	1	-2	0	4	0	0	0	0	0	0
OG0000467	0	1	0	-3	-1	0	1	1	-3	0	2	2	0	0	0	1	0
OG0000468	0	6	-1	-4	0	3	-2	0	0	0	2	2	0	0	1	0	0
OG0000469	0	0	0	-2	0	1	0	0	-1	0	2	1	0	1	1	0	0
OG0000470	-1	-1	0	3	1	0	-1	-1	2	0	4	0	0	0	0	-1	0
OG0000474	1	1	-1	-3	0	0	18	-10	1	0	0	0	0	2	0	6	0
OG0000475	-1	-2	0	1	4	-3	-1	0	5	0	1	-1	1	1	0	0	5
OG0000476	-1	4	-1	-3	-1	0	1	0	-2	0	3	0	0	1	1	1	0
OG0000479	0	-1	1	-2	3	0	-1	0	1	0	0	0	0	3	0	0	2
OG0000480	0	-1	0	-1	1	0	1	0	1	0	2	0	0	1	0	1	0
OG0000481	-1	0	0	0	-1	0	0	2	0	0	1	-1	1	1	1	1	1
OG0000482	0	-1	1	-2	0	0	0	0	3	0	1	0	0	0	2	3	1
OG0000488	2	-4	8	3	2	-1	-1	9	-2	0	1	0	0	-1	-2	0	0
OG0000489	0	6	-2	-2	-1	1	-2	0	8	0	1	0	0	0	2	0	4
OG0000490	2	0	2	-1	0	0	-1	1	0	0	1	2	0	0	0	-1	0
OG0000491	8	-1	0	1	-1	4	-1	1	-1	0	1	-1	0	0	0	0	0
OG0000492	3	-2	1	-2	3	-3	0	4	-1	0	0	0	0	2	0	1	0
OG0000496	0	0	0	-1	0	0	2	3	-1	0	1	0	0	1	1	5	0
OG0000497	-1	0	0	-2	0	-1	1	0	1	0	2	1	0	1	0	1	0
OG0000498	-1	3	-1	0	0	0	0	0	0	0	3	1	0	0	0	0	0
OG0000499	0	-1	4	-2	0	4	0	2	0	0	2	1	0	0	1	0	0
OG0000500	-1	-1	0	-2	2	-1	5	1	-2	0	2	0	0	2	0	2	0
OG0000502	2	0	0	1	2	-1	6	0	0	0	2	0	0	0	0	0	-1
OG0000503	1	0	-1	0	-1	1	3	1	-4	0	1	-2	1	1	1	0	0
OG0000504	-1	0	1	-3	2	2	-1	0	-1	0	4	0	0	1	0	-2	0
OG0000511	1	-1	1	-1	0	0	0	0	0	0	1	-1	0	0	2	1	4
OG0000512	2	3	0	0	-1	0	0	0	1	0	1	2	0	0	0	0	3
OG0000513	1	0	3	-2	0	0	-1	1	0	0	2	1	0	0	0	-1	0
OG0000514	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	-1	0
OG0000515	0	0	0	-2	0	0	0	2	0	0	2	3	0	0	0	0	1
OG0000517	10	-5	4	-1	43	-3	2	0	0	0	1	0	0	0	-2	0	-3
OG0000519	0	2	0	0	0	-1	0	0	0	0	2	1	0	0	0	0	0
OG0000520	-1	0	2	-1	-2	2	-2	0	3	0	1	1	0	0	1	0	4
OG0000521	2	0	0	1	0	-2	1	1	0	0	1	0	0	0	0	2	0
OG0000527	10	0	0	4	-3	4	-1	2	0	0	0	-3	0	0	0	0	0
OG0000528	-1	0	0	0	0	0	0	0	1	0	2	5	0	0	0	1	2
OG0000529	-1	-2	0	0	0	1	0	1	0	0	3	0	0	0	0	-1	0
OG0000530	20	0	0	5	-4	5	1	-4	0	0	0	-5	0	0	0	0	-1
